Partlist exported from D:/Dropbox/Eagle/Eagle_projects/MusselGapeTracker/MusselGapeTracker_RevA_2.sch at 5/26/2017 2:39 PM

Part           Value                             Device                            Package                           Description                                                                                                                      MF    MPN               OC_FARNELL OC_NEWARK PACKAGE PROD_ID     SUPPLIER  VALUE     
A139_HALL0     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL1     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL2     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL3     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL4     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL5     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL6     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL7     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL8     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL9     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL10    HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL11    HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL12    HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL13    HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL14    HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL15    HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
BJT            KSC1623_BJT_TRANSISTOR            KSC1623_BJT_TRANSISTOR            SOT23                             KSC1623 BJT NPN transistor - Fairchild Seminconductor KSC1623LMTF                                                                                                                                                     
INDUCTOR       10µH                              INDUCTOR0805_TY                   I_0805                            Inductor                                                                                                                                                                                                              
J1             AVR_SPI_PRG_6PTH                  AVR_SPI_PRG_6PTH                  2X3                               AVR ISP 6 Pin                                                                                                                                                                                                         
JP1            FTDI_HEADER                       PINHD-1X6LOCK                     1X06-BIGLOCK                      PIN HEADER                                                                                                                                                                                                            
LED1           RED_LED                           LED0805                           CHIPLED_0805                      LEDs                                                                                                                                                                                                                  
LED2           GREEN_LED                         LED0805                           CHIPLED_0805                      LEDs                                                                                                                                                                                                                  
MCP1700T-3302  MCP1700T-3302E/TT                 MCP1700T-3302E/TT                 SOT95P237X112-3N                  Low Quiescent Current LDO 3.3V                                                                                                         MCP1700T-3302E/TT 1296592    88H9817   SOT23-3             Microchip           
P-FET          MOSFET-PCHANNELBSH203             MOSFET-PCHANNELBSH203             SOT23-3                           Generic PMOSFET                                                                                                                                                                       TRANS-08285                     
R1             100 O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R2             100 O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R3             10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R4             100k O                            RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R5             100k O                            RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R6             10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R7             10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R8             10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R9             10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R10            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R11            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R12            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R13            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R14            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R15            100k O                            RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R16            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R17            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R18            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R19            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R20            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R21            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R22            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R23            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R24            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R25            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R26            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R27            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R28            10k O                             RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
R29            15k                               RESISTOR_SMDR0603                 R0603                             RESISTOR, American symbol                                                                                                                                                                                             
